"Hotel Name","Hotel ID"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Savoy Hotel Manila","55894510"
"Fosshótel Reykjavík","3215147"
"Alazhar Palace Hotel","66243041"
"voco Dubai","2225317"
"Pestana CR7 Marrakech","95007162"
"Pestana CR7 Marrakech","95007162"
"Melissa Hotel Riyadh","56030526"
"Hotel Berchielli","1224447"
"Grand Hotel Ambasciatori","2292111"
"Amaya Beach Pasikudah","2484957"
"Montreal Barsha Hotel","1519517"
"Melissa Hotel Riyadh","56030526"
"Filmar Hotel","4147764"
"Montreal Barsha Hotel","1519517"
"Makarem Umm Al Qura Hotel","1520441"
"Montreal Barsha Hotel","1519517"
"Le Pacha Hôtel","37613478"
"Fairmont Doha","94283388"
"HikkaTranz by Cinnamon","3922394"
"Tilal Riyadh","39865438"
"City Palace Hotel","58233327"
"City Palace Hotel","58233327"
"Conrad Dubai","1438256"
"Canal Central Hotel Business Bay","32165659"
"Baron Hotel Cairo","1849203"
"Montreal Barsha Hotel","1519517"
"Montreal Barsha Hotel","1519517"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Pavilion Hotel Kuala Lumpur Managed by Banyan Tree","63858531"
"Raffles Doha","27633174"
"BEST WESTERN Hotel Le Montparnasse","1556648"
"Harmony Suites","1559143"
"Embassy Suites by Hilton Charlotte","1464330"
"Swissôtel Al Murooj Dubai","90001468"
"The St. Regis Amman","15987289"
"The St. Regis Amman","15987289"
"Berjaya Langkawi Resort","1721573"
"Kopernikus Hotel Prag","6162683"
"Baron Hotel Cairo","1849203"
"Amalia Hotel Athens","1696202"
"Comfort Hotel Paris Porte d'Ivry","1019529"
"Montreal Barsha Hotel","1519517"
"Montreal Barsha Hotel","1519517"
"Montreal Barsha Hotel","1519517"
"Montreal Barsha Hotel","1519517"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Novotel Dubai Al Barsha","1611164"
"Golden Ship Hotel","27790750"
"Mercure Grand Hotel Seef","1134535"
"ibis Styles Dubai Airport Hotel","21724521"
"Hotel Pegasus Reef","1263224"
"HDB As Sahafa Hotel","67866509"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Montreal Barsha Hotel","1519517"
"The Grand Kandyan Hotel","93123743"
"Sunway Pyramid Hotel","1955243"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Sunway Pyramid Hotel","1955243"
"Hilton Amman","2584243"
"Tanadewa Villas & Spa Nusa Dua","1982680"
"Pearl Grand Hotel","6972896"
"Sunway Lagoon Hotel","7493029"
"Sunway Lagoon Hotel","7493029"
"Grand Oasis Resort","1337064"
"Sunway Lagoon Hotel","7493029"
"Hilton Cairo Grand Nile","1664899"
"Hilton Amman","2584243"
"Conrad Dubai","1438256"
"Astor Hotel","1918876"
"MENA Tyche Hotel Amman","3523755"
"Vittori Palace Hotel and Residences","76537631"
"Wyndham La Vita Phuket","49932480"
"Gardino Hotel & Residence","42618232"
"Shangri-La Hotel Kuala Lumpur","1115178"
"Mercure Grand Hotel Seef","1134535"
"voco Dubai","2225317"
"voco Dubai","2225317"
"voco Dubai","2225317"
"voco Dubai","2225317"
"voco Dubai","2225317"
"voco Dubai","2225317"
"JW Marriott Hotel Marina","1034594"
"Hyatt Centric Murano Venice","1114221"
"Southern Sun Abu Dhabi","2439123"
"Southern Sun Abu Dhabi","2439123"
"Southern Sun Abu Dhabi","2439123"
"Southern Sun Abu Dhabi","2439123"
"Hyatt Centric Murano Venice","1114221"
"",""
"Tilal Riyadh","39865438"
"Hyatt Regency Dubai","1189817"
"Hyatt Regency Dubai","1189817"
"Hyatt Regency Dubai","1189817"
"OYO Las Vegas Hotel & Casino","3432925"
"OYO Las Vegas Hotel & Casino","3432925"
"OYO Las Vegas Hotel & Casino","3432925"
"ibis Styles Dubai Airport Hotel","21724521"
"Hilton Amman","2584243"
"ibis Styles Dubai Airport Hotel","21724521"
"Amaya Lake Kandalama","1502505"
"Hilton Quebec","1023083"
"Marsa Malaz Kempinski, The Pearl - Doha","41100567"
"Hilton Garden Inn Washington DC/U.S. Capitol","1141607"
